Source,Target,Type
AD7C7FE949CD40F6BDDCA5ADD818EB18,F9ACA4F851B14CDF97CE78645158EB44,Directed
F9ACA4F851B14CDF97CE78645158EB44,43D4868C12A6447AAA51E49C88C080E2,Directed
98181A9A709549F5A4FDF32023F546E8,D3A9E0FC70C845C686A3485E934B68C2,Directed
D3A9E0FC70C845C686A3485E934B68C2,8981DD65BFD94F33BFD3706720422018,Directed
8981DD65BFD94F33BFD3706720422018,0851A3AEBD03497497928D8B476CB7D4,Directed
0851A3AEBD03497497928D8B476CB7D4,4A0DCA5562BB45E8B6E88C3F1932C96B,Directed
4A0DCA5562BB45E8B6E88C3F1932C96B,222404A228B44FC099E6B8103F1B4BD5,Directed
222404A228B44FC099E6B8103F1B4BD5,1690A140F6644BF7BDF9071FD4ECA816,Directed
1690A140F6644BF7BDF9071FD4ECA816,6CF449A90AC84746AD501AFE28AD59B0,Directed
6CF449A90AC84746AD501AFE28AD59B0,B20C0D94B1B04A27B55275CA0F401384,Directed
B20C0D94B1B04A27B55275CA0F401384,D46F636BA9674F9289F3862FC250F7D5,Directed
D46F636BA9674F9289F3862FC250F7D5,D0C72E8C64B54160BCE07C43977C7FF9,Directed
AFCC7E8709E146FDBEDF79E7C4AE4017,9ED624CCBFA04531B80030C494224CB8,Directed
FE5E01235A70481CA8DB08B810871AD1,BC05203D80F641A2849C463A83FE222D,Directed
637CD2B54FC940399E2787276BB841A9,238C6462AA2D407E88DBE3B8BAB6ECDE,Directed
361B84CF09884E89BC09EC0EF3715340,AF52F986D4A04A80A7EA9E9B4EA75407,Directed
2CB805EDA3324A6E98C9AE561B7DD0F0,01B8DC65BD4F41DD903775E2F0FA783C,Directed
248DACE44F8B4B399BEBF6ED708FE736,3B2322CCD5E94C51A80B28C1E142FE08,Directed
73495DAFD6D34998A9FC9ECD199E524B,8840BB16EF3545CF88ED3CB9571FD751,Directed
78619820D3734030B0CAEEBE3FDA9BE9,5DE20ACF93BC42649D5F96275201054B,Directed
41D118F69AD849ACA422DB4F676908C0,C651D8037DA24F7BB702D7743682F8EE,Directed
0DC8D98815D84D54AD55E5D2690B2350,8360492DBB2B430DA3099DAEA9DB464D,Directed
1B3A4D94D5FE4F80844B3DC54C94188D,55ED98EBE371432EBD1260EBA99F2781,Directed
5DE20ACF93BC42649D5F96275201054B,5CB0D95E294F460E95260C5B2C99AF22,Directed
72D997C25249413BB2446BBD992D476F,F2597EE8A6CA4799AEEF426218E81061,Directed
8360492DBB2B430DA3099DAEA9DB464D,02CCC4035E504F7B96A7F8DCDC3220AC,Directed
AA3350289CCD49A3A969832A600186A9,550734B50CB54A589F0954061D65B988,Directed
B0BA4DEA23044FE397E007A5DF427F87,2A22C769E1AF4CDD82410963BEE75E3F,Directed
2A22C769E1AF4CDD82410963BEE75E3F,9D5817275EB24F189B0AD2BBF2BA40AD,Directed
8840BB16EF3545CF88ED3CB9571FD751,3F2D9C0A04B741FAB35BD608CDFB169B,Directed
9ED624CCBFA04531B80030C494224CB8,361B84CF09884E89BC09EC0EF3715340,Directed
33BFB424185A4B83A09E013A32B2B5FF,AFCC7E8709E146FDBEDF79E7C4AE4017,Directed
2A2B40C6AAD74B93BA709B08AEB0B636,B8582C33DF4F4D50A8E79E6535BD534D,Directed
AD45BF88941B4CB9BBF72C464A81D4D3,103738F042DA41988669A0450ED55AA4,Directed
4DF55534A0DE41AB987123C3F618F975,C2EF989BAF7A40ED885812CF6CCB3F72,Directed
361F0FBA1F3C4556A32A532C1D2887DE,D50D2BA361784664A2D25D15B2C38DD2,Directed
4A80320D25EA422DB25750A0CDB9DD08,D8B28CE313B84F45A86C5AD977A970E4,Directed
AF52F986D4A04A80A7EA9E9B4EA75407,ED33BC47EC31458FB4C36E1AC91B81EC,Directed
4466055675E34F07809FB076D3E03FF2,625B5C6DE74441229791DEE552C6BC64,Directed
550734B50CB54A589F0954061D65B988,450D916E33FE490B89905B68D9268FA3,Directed
5B57B98A37074D0FA89B6BCFA148483A,DF2C93A9010D4FB59E8EA4A338A01670,Directed
43D4868C12A6447AAA51E49C88C080E2,98181A9A709549F5A4FDF32023F546E8,Directed
C04F2B6333C440E6A85AFA6CE3669D8E,EB67806AC78A453397C838D1B771E8A8,Directed
DA376B4B67D84B6AA758A5DBD484A38F,C32440B29CE54EA8811C8BC97FCB1C8C,Directed
C2EF989BAF7A40ED885812CF6CCB3F72,C7F849B1BCB84146A67E806E5ABE37A2,Directed
625B5C6DE74441229791DEE552C6BC64,2C30AA784195423390507EC1E2BCF77B,Directed
