Source,Target,Type,IsPipe,OtherType
C558A0627C9446548B23254872701164,950CBDB068994C10963963131A751BE0,Directed,Pipe,
950CBDB068994C10963963131A751BE0,25B5BA5E7AC644CD84276902327BA1E1,Directed,Other,VA
25B5BA5E7AC644CD84276902327BA1E1,E87EA9C0D1B346F98F4500A422FD4F87,Directed,Pipe,
E374ECABE2014723B6F0ADEA1799FDB2,A9FA7C4BC8D344628D783465E50257B8,Directed,Pipe,
A9FA7C4BC8D344628D783465E50257B8,0EB9ED0ACCBE41BB9F7C370F617AC1BD,Directed,Pipe,
0EB9ED0ACCBE41BB9F7C370F617AC1BD,B8C3707136DB4966A6E534E033F778B9,Directed,Other,XV
B8C3707136DB4966A6E534E033F778B9,6D477AC8D8A0468AB0C550741F6EA08A,Directed,Pipe,
E37DCB79E4C64F63B1C071BDAB87A408,0E579CC8A43B4041B5E5A423CD85C160,Directed,Other,FT
563C412FFA1D46D7AEF9F7844237B8BB,D23EA902EA884458ACCF8072D555CDE7,Directed,Pipe,
D2D3BC7AE3804003BA9477122F7BF0A9,563C412FFA1D46D7AEF9F7844237B8BB,Directed,Pipe,
D2D3BC7AE3804003BA9477122F7BF0A9,D23EA902EA884458ACCF8072D555CDE7,Directed,Pipe,
AF238B33DA0341DE92CD067F8C37FC5B,F9B6779DBBEF4BFCBF00B0153DDA6737,Directed,Pipe,
3EE2AA386F8A4DAC879D7C277D7D4511,5F62BFB7075C42D8BB1B3F69B499950B,Directed,Pipe,
5F62BFB7075C42D8BB1B3F69B499950B,3F8F323D51154B47895CD45E32E450E8,Directed,Pipe,
7342DE6A53E44B92A347A0AEB63CBCF5,BA6B12F71AF248C6A8B348428016513E,Directed,Pipe,
EF49451ECDB448C0B57D27BB83FE3770,F44DD002B889453AABFEF91498951284,Directed,Pipe,
BA6B12F71AF248C6A8B348428016513E,152CF901785642D3B4D63C848387ADCC,Directed,Other,HV
152CF901785642D3B4D63C848387ADCC,441B037684614EC581B4E02554E4E3CA,Directed,Pipe,
8E5A24D1DF5042F9871CE6CA08BE4E08,7342DE6A53E44B92A347A0AEB63CBCF5,Directed,Other,HV
