Id,Label,IsPipe
AD7C7FE949CD40F6BDDCA5ADD818EB18,"16""-BWH-B18H-008-NI",True
F9ACA4F851B14CDF97CE78645158EB44,"16""-BWH-B18H-008-NI",True
98181A9A709549F5A4FDF32023F546E8,"16""-BWH-B23H-008-NI",True
D3A9E0FC70C845C686A3485E934B68C2,ESP-53355001,False
8981DD65BFD94F33BFD3706720422018,"16""-BWH-B23H-008-NI",True
0851A3AEBD03497497928D8B476CB7D4,"16""-BWH-B23H-008-NI",True
4A0DCA5562BB45E8B6E88C3F1932C96B,"16""-BWH-B23H-009-NI",True
222404A228B44FC099E6B8103F1B4BD5,XV-5335539,False
1690A140F6644BF7BDF9071FD4ECA816,"16""-BWH-B23H-009-NI",True
6CF449A90AC84746AD501AFE28AD59B0,8275,False
B20C0D94B1B04A27B55275CA0F401384,8275,False
D46F636BA9674F9289F3862FC250F7D5,"16""-BWH-B23H-009-NI",True
AFCC7E8709E146FDBEDF79E7C4AE4017,"14""-TC-B14H-001-NI",True
FE5E01235A70481CA8DB08B810871AD1,"10""-SW-B14H-262-NI",True
637CD2B54FC940399E2787276BB841A9,"16""-BWH-B18H-008-NI",True
361B84CF09884E89BC09EC0EF3715340,"14""-TC-B14H-001-NI",True
2CB805EDA3324A6E98C9AE561B7DD0F0,"14""-TC-B14H-001-NI",True
248DACE44F8B4B399BEBF6ED708FE736,ESP-52715046,False
73495DAFD6D34998A9FC9ECD199E524B,"14""-TC-B14H-001-NI",True
78619820D3734030B0CAEEBE3FDA9BE9,"14""-TC-B14H-001-NI",True
41D118F69AD849ACA422DB4F676908C0,ESP-52715051,False
0DC8D98815D84D54AD55E5D2690B2350,"14""-TC-B14H-001-NI",True
1B3A4D94D5FE4F80844B3DC54C94188D,"14""-TC-B14H-001-NI",True
5DE20ACF93BC42649D5F96275201054B,"14""-TC-B14H-001-NI",True
72D997C25249413BB2446BBD992D476F,"14""-TC-B14H-026-NI",True
8360492DBB2B430DA3099DAEA9DB464D,"14""-TC-B14H-001-NI",True
AA3350289CCD49A3A969832A600186A9,"12""-TC-B14H-005-NI",True
B0BA4DEA23044FE397E007A5DF427F87,"14""-TC-B14H-001-NI",True
2A22C769E1AF4CDD82410963BEE75E3F,"14""-TC-B14H-001-NI",True
8840BB16EF3545CF88ED3CB9571FD751,"14""-TC-B14H-001-NI",True
9ED624CCBFA04531B80030C494224CB8,ESP-52715054,False
33BFB424185A4B83A09E013A32B2B5FF,"14""-TC-B14H-001-NI",True
2A2B40C6AAD74B93BA709B08AEB0B636,ESP-52715050,False
AD45BF88941B4CB9BBF72C464A81D4D3,VALV-52715145,False
4DF55534A0DE41AB987123C3F618F975,"14""-TC-B14H-001-NI",True
361F0FBA1F3C4556A32A532C1D2887DE,"14""-SW-B14H-279-NI",True
4A80320D25EA422DB25750A0CDB9DD08,"14""-TC-B14H-001-NI",True
AF52F986D4A04A80A7EA9E9B4EA75407,"14""-TC-B14H-001-NI",True
4466055675E34F07809FB076D3E03FF2,"14""-TC-B14H-001-NI",True
550734B50CB54A589F0954061D65B988,"12""-TC-B14H-005-NI",True
5B57B98A37074D0FA89B6BCFA148483A,"14""-TC-B14H-026-NI",True
43D4868C12A6447AAA51E49C88C080E2,XV-5335537,False
C04F2B6333C440E6A85AFA6CE3669D8E,8017,False
DA376B4B67D84B6AA758A5DBD484A38F,"14""-TC-B14H-001-NI",True
C2EF989BAF7A40ED885812CF6CCB3F72,"14""-TC-B14H-001-NI",True
625B5C6DE74441229791DEE552C6BC64,"14""-TC-B14H-001-NI",True
D22AD389864F4A5089B7B17930B9A33B,"14""-TC-B14H-002-NI",True
3B2322CCD5E94C51A80B28C1E142FE08,"10""-SW-B14H-256-NI",True
D29EE803FA1F413FAAE8D17D3CD9864E,"14""-SW-B23H-263-NI",True
87B20536BEA74B469786B210BCE96B7F,"14""-TC-B14H-001-NI",True
ED33BC47EC31458FB4C36E1AC91B81EC,"14""-TC-B14H-001-NI",True
BFED92952F9F476AB098EFFB33AAA8EB,"3""-TC-B14H-005-NI",True
509DBA84CED24AF0801B78393C7B1132,ESP-52715086,False
EB67806AC78A453397C838D1B771E8A8,8017,False
4F5CE0B4B3B449F8B46A0D9C568FC8EB,Z-5271505,False
D7495C82567F4AD5BE17345591E3B6BE,"14""-TC-B14H-001-NI",True
B424E9A3DC054B47AEC9C7DC44AF929C,"12""-TC-B14H-005-NI",True
458AF8109C204947BD5FF48E29A381D6,"14""-TC-B14H-001-NI",True
76D16311A4FF4A2F9DC7830AE172F62F,"3""-TC-B14H-005-NI",True
FBA0784BA0514DC69A3B8B9A780698BF,"12""-TC-B14H-005-NI",True
02CCC4035E504F7B96A7F8DCDC3220AC,"14""-TC-B14H-001-NI",True
8FC09571CD8E42628B3BECD5C21CECA2,"3""-TC-B14H-005-NI",True
3F2D9C0A04B741FAB35BD608CDFB169B,"14""-TC-B14H-001-NI",True
FC01B2132A4945BCAEDAD94AD65A8624,"12""-TC-B14H-005-NI",True
DCA5E0B4AF03443BBEEFDE4A46E7359A,"14""-TC-B14H-001-NI",True
38E2D6E1F74447518453F4FB511493DB,"3""-TC-B14H-005-NI",True
9B15F4F2F4D64B2BA7CF0CE5BD2E53A6,"14""-TC-B14H-001-NI",True
