Source,SrcLabel,Target,TgtLabel
C558A0627C9446548B23254872701164,Z-5111502P,950CBDB068994C10963963131A751BE0,"24""-SW-B18H-002-"
950CBDB068994C10963963131A751BE0,"24""-SW-B18H-002-",25B5BA5E7AC644CD84276902327BA1E1,VALV-51115002
25B5BA5E7AC644CD84276902327BA1E1,VALV-51115002,E87EA9C0D1B346F98F4500A422FD4F87,"24""-SW-B18H-002-"
E374ECABE2014723B6F0ADEA1799FDB2,"24""-SW-B18H-002-",A9FA7C4BC8D344628D783465E50257B8,"24""-SW-B18H-002-"
A9FA7C4BC8D344628D783465E50257B8,"24""-SW-B18H-002-",0EB9ED0ACCBE41BB9F7C370F617AC1BD,"24""-SW-B18H-002-"
0EB9ED0ACCBE41BB9F7C370F617AC1BD,"24""-SW-B18H-002-",B8C3707136DB4966A6E534E033F778B9,XV-5111524
B8C3707136DB4966A6E534E033F778B9,XV-5111524,6D477AC8D8A0468AB0C550741F6EA08A,"24""-SW-B18H-002-"
E37DCB79E4C64F63B1C071BDAB87A408,"24""-SW-B18H-002-",0E579CC8A43B4041B5E5A423CD85C160,FT-5111501B
563C412FFA1D46D7AEF9F7844237B8BB,"24""-SW-B18H-214-",D23EA902EA884458ACCF8072D555CDE7,"24""-SW-B18H-214-"
D2D3BC7AE3804003BA9477122F7BF0A9,"24""-SW-B18H-214-",563C412FFA1D46D7AEF9F7844237B8BB,"24""-SW-B18H-214-"
D2D3BC7AE3804003BA9477122F7BF0A9,"24""-SW-B18H-214-",D23EA902EA884458ACCF8072D555CDE7,"24""-SW-B18H-214-"
AF238B33DA0341DE92CD067F8C37FC5B,"14""-SW-B18H-214-NI",F9B6779DBBEF4BFCBF00B0153DDA6737,"14""-SW-B14H-012-"
3EE2AA386F8A4DAC879D7C277D7D4511,"24""-SW-B18H-214-",5F62BFB7075C42D8BB1B3F69B499950B,"24""-SW-B18H-214-"
5F62BFB7075C42D8BB1B3F69B499950B,"24""-SW-B18H-214-",3F8F323D51154B47895CD45E32E450E8,"24""-SW-B18H-214-"
7342DE6A53E44B92A347A0AEB63CBCF5,HV-5111522,BA6B12F71AF248C6A8B348428016513E,"24""-SW-B18H-214-"
EF49451ECDB448C0B57D27BB83FE3770,"24""-SW-B18H-214-",F44DD002B889453AABFEF91498951284,"24""-SW-B18H-214-"
BA6B12F71AF248C6A8B348428016513E,"24""-SW-B18H-214-",152CF901785642D3B4D63C848387ADCC,HV-5111521
152CF901785642D3B4D63C848387ADCC,HV-5111521,441B037684614EC581B4E02554E4E3CA,"24""-SW-B18H-214-"
8E5A24D1DF5042F9871CE6CA08BE4E08,"24""-SW-B18H-214-",7342DE6A53E44B92A347A0AEB63CBCF5,HV-5111522
51445719BBE2483FA8D2123C5875FA6E,"24""-SW-B18H-214-",F93E75371BFC4E1ABAB40BAB51D7AB09,"24""-SW-B18H-214-"
F93E75371BFC4E1ABAB40BAB51D7AB09,"24""-SW-B18H-214-",7C0D6DBA5F4F4D7BB5AC44E6E1F3DF19,"24""-SW-B18H-214-"
B7534C996FA1415ABEEF017E1EF2CCC6,"24""-SW-B18H-214-",07512585EEC04D138DE172A265446EAB,"14""-SW-B18H-214-"
B7534C996FA1415ABEEF017E1EF2CCC6,"24""-SW-B18H-214-",A54D5B633BFC4A429D19AC778D3F2371,"14""-SW-B14H-005-"
A4B1B7995172457886655672603D53F2,"24""-SW-B18H-214-",B7534C996FA1415ABEEF017E1EF2CCC6,"24""-SW-B18H-214-"
A54D5B633BFC4A429D19AC778D3F2371,"14""-SW-B14H-005-",308DB54064384D5F8769EAF223D56CE0,"14""-SW-B14H-005-"
3B7B5F5CD4BE4A4D86BF814A9B006219,"14""-SW-B14H-005-",ED84453A06814765A04087F85C8FC487,2858
ED84453A06814765A04087F85C8FC487,2858,096E69E3C6D44B4DB767D596AB8A2E09,2858
9316319A4A064FB6AD5134AA4A8946A4,"24""-SW-B18H-214-",AF238B33DA0341DE92CD067F8C37FC5B,"14""-SW-B18H-214-NI"
9316319A4A064FB6AD5134AA4A8946A4,"24""-SW-B18H-214-",438D83A3617149E99769717D0609552A,"24""-SW-B18H-214-"
9316319A4A064FB6AD5134AA4A8946A4,"24""-SW-B18H-214-",F9B6779DBBEF4BFCBF00B0153DDA6737,"14""-SW-B14H-012-"
438D83A3617149E99769717D0609552A,"24""-SW-B18H-214-",18D89F8791EA4F2EA68BD481A283BB73,"24""-SW-B18H-214-"
F9B6779DBBEF4BFCBF00B0153DDA6737,"14""-SW-B14H-012-",20BEB38A4EFC44BFB7B28A1286E68079,"14""-SW-B14H-012-"
20BEB38A4EFC44BFB7B28A1286E68079,"14""-SW-B14H-012-",243FF371296D43A884A895695512F576,HV-5111518
CBC5067AA669438691F35A4D9F316F9A,"24""-SW-B18H-002-",E374ECABE2014723B6F0ADEA1799FDB2,"24""-SW-B18H-002-"
243FF371296D43A884A895695512F576,HV-5111518,E7DEC852EDE7499A85B00731DC6C81D2,"14""-SW-B14H-012-"
3F8F323D51154B47895CD45E32E450E8,"24""-SW-B18H-214-",663A89CCB54F4BE2B06F689ED00AAB8E,"24""-SW-B18H-214-"
E7DEC852EDE7499A85B00731DC6C81D2,"14""-SW-B14H-012-",2FB7A19582A04DDD8A619AA2D47A103A,2862
2FB7A19582A04DDD8A619AA2D47A103A,2862,B9DFA95A7F4D4AEDA956DC41FF4BBB7F,2862
B9DFA95A7F4D4AEDA956DC41FF4BBB7F,2862,72A23EDDC7CE4CA0BDD772DAFD7E0721,"14""-SW-B14H-012-NI"
6D477AC8D8A0468AB0C550741F6EA08A,"24""-SW-B18H-002-",A9A8357A4A284F00964452E9BF83B9A2,"24""-SW-B18H-002-"
72A23EDDC7CE4CA0BDD772DAFD7E0721,"14""-SW-B14H-012-NI",2C2BB4952A044DCE96DBD2358BBC1911,"14""-SW-B14H-052-"
BB9000C0523A446C8D8EBF040001D9AE,"14""-SW-B14H-052-",7C553E5F56F940089B25CC7F52A285CE,HV-5241524
BB9000C0523A446C8D8EBF040001D9AE,"14""-SW-B14H-052-",BA319CEB875042359D9CF4E97600F229,"14""-SW-B14H-052-"
4C4C0ADC37A049C98FB62A6486479B6B,"12""-SW-B14H-024-NI",C8AC0F7B15BB4296AAB0451CE54CE0C4,"12""-SW-B14H-024-NI"
F1E19586B4EB45378E219222F23E81DE,"12""-SW-B14H-029-",5F8D4187E4C04BAE944274D82E0CDC10,"12""-SW-B14H-029-"
07512585EEC04D138DE172A265446EAB,"14""-SW-B18H-214-",A54D5B633BFC4A429D19AC778D3F2371,"14""-SW-B14H-005-"
BA319CEB875042359D9CF4E97600F229,"14""-SW-B14H-052-",BB9000C0523A446C8D8EBF040001D9AE,"14""-SW-B14H-052-"
BA319CEB875042359D9CF4E97600F229,"14""-SW-B14H-052-",5E3A426B25DA4B27B535F6F875A04BDD,"14""-SW-B14H-052-"
3F2E00C45FE649EE8A71CA366285E8D5,"12""-SW-B14H-024-NI",C360C6A37CB84CA599B83A6A7053AB0A,"10""-SW-B14H-065-NI"
3F2E00C45FE649EE8A71CA366285E8D5,"12""-SW-B14H-024-NI",CE35BFB23CFE4A7A906E587AEDF5FE4A,"10""-SW-B14H-024-NI"
3F2E00C45FE649EE8A71CA366285E8D5,"12""-SW-B14H-024-NI",53F3FFD225B34405BBB7B38C3FB3E69A,"10""-SW-B14H-065-NI"
3F2E00C45FE649EE8A71CA366285E8D5,"12""-SW-B14H-024-NI",E2182343C50B4EFCBCF62A52C01469FA,"12""-SW-B14H-024-NI"
A0D1D209BAF4451D97A7638618323CB0,VALV-52415056,0FB3089039ED41EDA03910792A1B8295,"12""-SW-B14H-024-NI"
7105EC5097154D5FBB74C902FE0D5D80,"14""-SW-B14H-005-",BA319CEB875042359D9CF4E97600F229,"14""-SW-B14H-052-"
0FB3089039ED41EDA03910792A1B8295,"12""-SW-B14H-024-NI",260932ACA0B8414B941E0C409671B8B7,"8""-SW-B14H-024-NI"
